Title	Description	Example Type	Experience Level	Language	Product Area	Resource Link	Status	Owner
LangSmith CI/CD Example	"This shows how to setup CI/CD for a LangSmith Deployment
• unit, integration, e2e tests
• offline evaluations with https://github.com/langchain-ai/openevals and https://docs.langchain.com/langsmith/home
• preview and prod agent deployments using https://docs.langchain.com/langgraph-platform/api-ref-control-plane control plane API"	Example	Advanced	Python	LangSmith	https://github.com/langchain-ai/cicd-pipeline-example	Ready - Add to Docs	Marco Perini
Multi-Supervisor Commerce Agent	A simple multi-agent ecommerce system built with LangChain and LangGraph. A top-level supervisor routes customer queries to specialized business unit (BU) supervisors that focus on billing & payments, order management, and promotions & loyalty tasks.	Example	Intermediate	Python	OSS	https://github.com/j-broekhuizen/ecommerce	Ready - Add to Docs	Jake Broekhuizen
LangSmith On-Demand Agent Auth	This project demonstrates the new Agent OAuth Authentication capabilities in LangSmith, showcasing how to build intelligent agents that can securely authenticate with external services like GitHub and access user data on-demand.	Example	Advanced	Python	LangSmith Deployments, OSS	https://github.com/PeriniM/agent-auth-example/tree/main	Ready - Add to Docs	Marco Perini
LS Multi-Project Tracing	A LangGraph agent that routes LangSmith traces to different workspaces based on configuration. Perfect for multi-tenant applications or testing across different environments.	Example	Intermediate	Python	LangSmith, LangSmith Deployments	https://github.com/victorm-lc/ls-deployments-multi-project-tracing	Ready - Add to Docs	Victor Moreira
LangSmith MCP Auth	End-to-end example of user authentication for LangGraph agents that interact with MCP servers using individual user credentials.	Example	Advanced	Python	LangSmith Deployments, OSS	https://github.com/victorm-lc/mcp-auth-demo	Ready - Add to Docs	Victor Moreira
Distributed Tracing [Remote Graph]	This example demonstrates proper implementation of distributed tracing between a supervisor (parent) graph and a subagent (child/remote) graph using LangGraph.	Example	Intermediate	Python	LangSmith, LangSmith Deployments, OSS	https://github.com/victorm-lc/remote-graph-distributed-tracing	Ready - Add to Docs	Victor Moreira
LangGraph Fault Tolerance	Demonstrates LangGraph's fault tolerance mechanism using pending writes to handle partial failures in parallel execution workflows.	Example	Intermediate	Python	LangSmith Deployments, OSS	https://github.com/j-broekhuizen/langgraph-fault-tolerance	Ready - Add to Docs	Jake Broekhuizen
LangSmith PII Removal	To demonstrate the various ways that users can mask PII using the LangSmith SDK	Example	Beginner	Python	LangSmith	https://github.com/langchain-ai/langsmith-pii-removal/tree/main	Ready - Add to Docs	Marco Perini
